ticker,announcement_date,timing_class,entry_date,exit_date,signal,position_dir,entry_price,exit_price,holding_period_days,gross_return,transaction_cost,net_return,market_return,abnormal_return
COST,2016-03-02,AMC,2016-03-03,2016-03-10,-1,-1.0,151.6,152.87,5,-0.008377,0.002,-0.010377,-0.001201,-0.009579
GOOGL,2016-04-21,AMC,2016-04-22,2016-04-29,-1,-1.0,36.89,35.39,5,0.040514,0.002,0.038514,-0.012633,0.027881
MSFT,2016-04-21,AMC,2016-04-22,2016-04-29,-1,-1.0,51.78,49.87,5,0.036887,0.002,0.034887,-0.012633,0.024253
AAPL,2016-04-26,AMC,2016-04-27,2016-05-04,-1,-1.0,24.45,23.55,5,0.037109,0.002,0.035109,-0.020731,0.016378
META,2016-04-27,AMC,2016-04-28,2016-05-05,1,1.0,116.73,117.81,5,0.009252,0.002,0.007252,-0.011955,0.021207
AMZN,2016-04-28,AMC,2016-04-29,2016-05-06,1,1.0,32.98,33.7,5,0.021771,0.002,0.019771,-0.002956,0.024727
CVX,2016-04-29,BMO,2016-04-29,2016-05-06,1,1.0,102.18,101.86,5,-0.003132,0.002,-0.005132,-0.002956,-0.000175
XOM,2016-04-29,BMO,2016-04-29,2016-05-06,1,1.0,88.4,88.51,5,0.001244,0.002,-0.000756,-0.002956,0.004201
MSFT,2016-07-19,AMC,2016-07-20,2016-07-27,1,1.0,55.91,56.19,5,0.005008,0.002,0.003008,-0.002626,0.007634
AMZN,2016-07-28,AMC,2016-07-29,2016-08-05,1,1.0,37.94,38.3,5,0.009449,0.002,0.007449,0.004882,0.004567
XOM,2016-07-29,BMO,2016-07-29,2016-08-05,-1,-1.0,88.95,87.56,5,0.015627,0.002,0.013627,0.004882,0.020509
BAC,2016-10-17,BMO,2016-10-17,2016-10-24,1,1.0,16.05,16.77,5,0.04486,0.002,0.04286,0.011818,0.033041
AMZN,2016-10-27,AMC,2016-10-28,2016-11-04,-1,-1.0,38.82,37.75,5,0.027399,0.002,0.025399,-0.018773,0.008626
CVX,2016-10-28,BMO,2016-10-28,2016-11-04,1,1.0,103.82,104.78,5,0.009247,0.002,0.007247,-0.018773,0.02802
NVDA,2016-11-10,AMC,2016-11-11,2016-11-18,-1,-1.0,2.2,2.33,5,-0.061271,0.002,-0.063271,0.009611,-0.05166
GOOGL,2017-01-26,AMC,2017-01-27,2017-02-03,-1,-1.0,42.25,41.01,5,0.029466,0.002,0.027466,0.001616,0.031082
CVX,2017-01-27,BMO,2017-01-27,2017-02-03,-1,-1.0,113.79,113.57,5,0.001933,0.002,-6.7e-05,0.001616,0.003549
XOM,2017-01-31,BMO,2017-01-31,2017-02-07,1,1.0,83.89,82.77,5,-0.013351,0.002,-0.015351,0.006197,-0.019548
NVDA,2017-02-09,AMC,2017-02-10,2017-02-17,1,1.0,2.84,2.68,5,-0.05624,0.002,-0.05824,0.015464,-0.071704
WMT,2017-02-21,BMO,2017-02-21,2017-02-28,-1,-1.0,23.82,23.64,5,0.007278,0.002,0.005278,-8.5e-05,0.007193
COST,2017-03-02,AMC,2017-03-03,2017-03-10,-1,-1.0,170.26,165.37,5,0.028721,0.002,0.026721,-0.003062,0.025659
BAC,2017-04-18,BMO,2017-04-18,2017-04-25,1,1.0,22.71,23.98,5,0.055923,0.002,0.053923,0.020011,0.035911
CVX,2017-04-28,BMO,2017-04-28,2017-05-05,1,1.0,106.7,105.79,5,-0.008529,0.002,-0.010529,0.006804,-0.015333
META,2017-05-03,AMC,2017-05-04,2017-05-11,1,1.0,150.85,150.04,5,-0.00537,0.002,-0.00737,0.002597,-0.007966
NVDA,2017-05-09,AMC,2017-05-10,2017-05-17,-1,-1.0,3.03,3.19,5,-0.053013,0.002,-0.055013,-0.016884,-0.069898
COST,2017-05-25,AMC,2017-05-26,2017-06-05,1,1.0,177.86,182.08,5,0.023727,0.002,0.021727,0.009433,0.014294
MSFT,2017-07-20,AMC,2017-07-21,2017-07-28,1,1.0,73.79,73.04,5,-0.010164,0.002,-0.012164,0.000122,-0.010285
AMZN,2017-07-27,AMC,2017-07-28,2017-08-04,-1,-1.0,51.0,49.38,5,0.031822,0.002,0.029822,0.002025,0.033847
XOM,2017-07-28,BMO,2017-07-28,2017-08-04,-1,-1.0,79.6,80.21,5,-0.007663,0.002,-0.009663,0.002025,-0.005638
NVDA,2017-08-10,AMC,2017-08-11,2017-08-18,1,1.0,3.9,4.04,5,0.035522,0.002,0.033522,-0.005776,0.041298
WMT,2017-08-17,BMO,2017-08-17,2017-08-24,-1,-1.0,26.57,26.11,5,0.017064,0.002,0.015064,0.003702,0.020766
AMZN,2017-10-26,AMC,2017-10-27,2017-11-03,1,1.0,55.05,55.58,5,0.009673,0.002,0.007673,0.002872,0.006802
CVX,2017-10-27,BMO,2017-10-27,2017-11-03,-1,-1.0,113.54,114.99,5,-0.012771,0.002,-0.014771,0.002872,-0.009899
META,2017-11-01,AMC,2017-11-02,2017-11-09,1,1.0,178.92,179.3,5,0.002124,0.002,0.000124,0.002252,-0.000128
NVDA,2017-11-09,AMC,2017-11-10,2017-11-17,-1,-1.0,5.4,5.28,5,0.022115,0.002,0.020115,-0.000891,0.021224
BAC,2018-01-17,BMO,2018-01-17,2018-01-24,1,1.0,31.18,32.09,5,0.029185,0.002,0.027185,0.012768,0.016418
GOOGL,2018-02-01,AMC,2018-02-02,2018-02-09,-1,-1.0,55.96,52.31,5,0.065163,0.002,0.063163,-0.050644,0.014518
AMZN,2018-02-01,AMC,2018-02-02,2018-02-09,1,1.0,71.5,66.98,5,-0.063184,0.002,-0.065184,-0.050644,-0.01254
XOM,2018-02-02,BMO,2018-02-02,2018-02-09,-1,-1.0,84.53,75.78,5,0.103514,0.002,0.101514,-0.050644,0.052869
CVX,2018-02-02,BMO,2018-02-02,2018-02-09,-1,-1.0,118.58,113.5,5,0.04284,0.002,0.04084,-0.050644,-0.007804
NVDA,2018-02-08,AMC,2018-02-09,2018-02-16,1,1.0,5.8,6.1,5,0.050672,0.002,0.048672,0.044398,0.006275
WMT,2018-02-20,BMO,2018-02-20,2018-02-27,-1,-1.0,31.37,30.51,5,0.027521,0.002,0.025521,0.011164,0.038685
JPM,2018-04-13,BMO,2018-04-13,2018-04-20,-1,-1.0,110.3,111.47,5,-0.010607,0.002,-0.012607,0.005506,-0.005101
META,2018-04-25,AMC,2018-04-26,2018-05-03,1,1.0,174.16,174.02,5,-0.000804,0.002,-0.002804,-0.013856,0.013052
AMZN,2018-04-26,AMC,2018-04-27,2018-05-04,1,1.0,78.63,79.05,5,0.005297,0.002,0.003297,-0.002026,0.007323
CVX,2018-04-27,BMO,2018-04-27,2018-05-04,1,1.0,126.62,125.53,5,-0.008608,0.002,-0.010608,-0.002026,-0.006583
XOM,2018-04-27,BMO,2018-04-27,2018-05-04,-1,-1.0,77.79,76.9,5,0.011441,0.002,0.009441,-0.002026,0.009415
NVDA,2018-05-10,AMC,2018-05-11,2018-05-18,1,1.0,6.36,6.15,5,-0.033748,0.002,-0.035748,-0.005571,-0.028178
COST,2018-05-31,AMC,2018-06-01,2018-06-08,-1,-1.0,197.13,203.76,5,-0.033633,0.002,-0.035633,0.016776,-0.016856
